Brand;Model;Year
Ford;Fiesta;2015
Chevrolet;Camaro;2018
Toyota;Corolla;2013
Honda;Civic;2016
Nissan;Altima;2014
Hyundai;Sonata;2017
Kia;Optima;2012
Mazda;3;2019
Subaru;Outback;2020
Jeep;Grand Cherokee;2011
Dodge;Charger;2008
Chrysler;300;2010
Mercedes-Benz;C-Class;2007
BMW;3 Series;2006
Audi;A4;2005
Volkswagen;Jetta;2004
Porsche;911;2003
Lamborghini;Aventador;2002
Ferrari;458;2001
Mclaren;720S;2000
Bentley;Continental GT;1999
Rolls-Royce;Phantom;1998
Aston Martin;DB11;1997
Jaguar;F-Type;1996
Land Rover;Range Rover;1995
Mitsubishi;Eclipse;1994
Suzuki;Swift;1993
Peugeot;208;1992
Renault;Clio;1991
Citroen;C3;1990
Opel;Corsa;1989
Skoda;Octavia;1988
Seat;Ibiza;1987
Volvo;XC90;1986
Saab;9-3;1985
