"Ford Focus";"United States, United Kingdom"
"Toyota Camry";"United States, Japan"
"Chevrolet Silverado";"United States"
"Toyota Corolla";"Global"
"Ford F-150";"United States"
"Nissan Altima";"United States"
"Hyundai Sonata";"United States"
"Jeep Cherokee";"United States"
"Honda Civic";"Global"
"Jeep Grand Cherokee";"United States"
"Toyota RAV4";"United States, Canada"
"Ford Fusion";"United States"
"Nissan Rogue";"United States"
"Toyota Highlander";"United States"
"Honda CR-V";"United States, Canada"
"Ford Escape";"United States"
"Subaru Outback";"United States"
"Hyundai Elantra";"United States"
"Toyota Tacoma";"United States"
"Ford Explorer";"United States"
"Chevrolet Malibu";"United States"
"Kia Optima";"United States"
"Subaru Forester";"United States"
"Toyota Tundra";"United States"
"Ford Edge";"United States"
"Honda Accord";"Global"
"Chevrolet Equinox";"United States"
"Hyundai Santa Fe";"United States"
